Organization,About,Location,Employees,Funding,Ownership,Website,Rank,Industries,Headquarters Regions,Founded Date,Founders,Operating Status,Also Known As,Legal name,Last Funding Type,Company Type ,Contact Email,Phone Number
Glazier Software,Glazier is a software company that helps glass contractors run profitable operations,"New York, New York, United States",01-Oct,"Pre-Seed, Private",Private,glaziersoftware.com/,"56,439","Construction, Information Technology, SaaS, Software","Regions Greater New York Area, East Coast, Northeastern US","Apr 12, 2022",No,Active,No,"Glazier Software, Inc.",Pre-Seed,For Profit,info@glaziersoftware.com,2032736820
Sense Defence,Next Generation Web Application Firewall,"London, England, United Kingdom",01-Oct,Pre-Seed,Private,www.sensedefence.com,"65,180","Cloud Security,Cyber Security,Information Technology,SaaS",No,"Sep 12, 2022",Jinshu Peethambaran,Active,No,Sense Defence Ltd,Pre-Seed,For Profit,hello@sensedefence.com,No
Skillties,"SaaS, People Analytics, Skill Management, Education, HR","Berlin, Berlin, Germany",01-Oct,Pre-Seed,Private,www.skillties.com,"63,264","Artificial Intelligence, EdTech, Education, Human Resources, SaaS, Skill Assessment, Software",European Union (EU),"May 2, 2022","Leonard Zenouzi, Sebastian Lothary",Active,No,Skillties GmbH,No,For Profit,info@skillties.com,No
PRODUCER,"All-in-one cloud-based software for filmmakers, SaaS","Zürich, Zurich, Switzerland",01-Oct,Seed,Private,www.the-producer.io/,"66,643","Film,Film Production,Media and Entertainment,SaaS, Software,TV Production",No,Mar-22,"Paul-Emile Joëssel, Thomas Gassoul, Xaver Walser",Active,No,Producer GmbH,Seed,For Profit,pablo@the-producer.io,+41 (79) 223 30 65
Sweephy,"No-code, no-rule data cleaning and preparing for Machine Learning models and analyzing data.","Tallinn, Harjumaa, Estonia",01-Oct,Pre-Seed,Private,sweephy.com,"70,510","Analytics, Artificial Intelligence, Big Data, Cloud Data Services, Machine Learning, SaaS, Software",European Union (EU),"Apr 1, 2022","Abdullah Kandilli, Erce Can Bektüre, Ertug Dilek",Active,No,Sweephy OÜ,Pre-Seed,For Profit,info@sweephy.com,49-176-322-06769
Voicit,AI-powered tool for automatic meeting documentation,"Málaga, Andalucia, Spain",01-Oct,Pre-Seed,Private,voicit.es/,"74,957","Artificial Intelligence,Machine Learning,Natural Language Processing,SaaS,Software,Speech Recognition,Video Conferencing",No,"Apr 6, 2022","Rafael Torres García,Álvaro Arrescurrenaga Sánchez",Active,No,Voicit Technologies S.L.,No,For Profit,contact@voicit.es,34682371568
KoleK,SaaS enabled Fintech that orchestrate businesses' finances through the best financial management tool - leveraged by open banking,"São Paulo, Sao Paulo, Brazil",01-Oct,Pre-Seed,Private,kolek.com.br,"74,757","FinTech,SaaS",Latin America,Aug-22,"Murilo Pinheiro,Neil David",Active,No,No,No,For Profit,support@wekolek.com,No
Bonik,Bonik is a B2B SaaS startup building no-code eCommerce platform for SMBs in emerging markets to build & scale D2C brands and eCommerce,"Dover, Delaware, United States",01-Oct,Grant,Private,www.bonikapp.com,"81,119","E-Commerce,Information Technology, SaaS, Software","East Coast, Southern US",May-22,Salman Saafi,Active,Bonik App,Bonik Inc.,Grant,For Profit,salman@bonikapp.com,No
Numeral,Fully automated revenue recognition and transaction-level cash reconciliation for high-volume businesses.,"San Francisco, California, United States",01-Oct,Pre-Seed,Private,gonumeral.com/,"73,139","FinTech,SaaS,Software","San Francisco Bay Area,West Coast,Western US",Jun-22,"Christopher Kim,Yufei Liu",Active,No,No,Pre-Seed,For Profit,hello@gonumeral.com,617-584-1465
KoiosIQ,FinTech Software Provider for U.S. Markets Trading Strategy Automation,"Louisville, Kentucky, United States",01-Oct,Pre-Seed,Private,koiosiq.com,"87,924","FinTech,SaaS,Software,Trading Platform",Southern US,"Mar 14, 2022","Chris Page,Raynaldo Rivera",No,No,"KoiosIQ, Corp.",No,For Profit,partnerwith@koiosiq.com,502-272-0718
Debut,All your work combined in one place.,"San Francisco, California, United States",01-Oct,Pre-Seed,Private,www.debutwith.com,"88,825","Collaboration,Productivity Tools, SaaS,Software,Unified Communications","San Francisco Bay Area,West Coast, Western US","Apr 27, 2022","Fraser Bramley, Henry Wills,Sara Montes",Active,No,"Debut, Inc.",Pre-Seed,For Profit,hello@debutwith.com,415-650-1060
Leantime,Leantime is the open source project management system for non-project managers.(SaaS),"Mooresville, North Carolina, United States",01-Oct,Pre-Seed,Private,www.leantime.io,"1,03,520","Open Source,Project Management,SaaS,Software","East Coast, Southern US",Jul-22,"Gloria Folaron,Marcel Folaron",Active,"Hyve5.me, leantime,leantime.io",Hyve5 Inc dba Leantime,No,For Profit,Gloria@leantime.io,No
Streamkap,Streamkap is a streaming ETL engine that simplifies data streaming to any destination.,"San Francisco, California, United States",01-Oct,Seed,Private,streamkap.com,99973,"Analytics,Data Integration,SaaS","San Francisco Bay Area,West Coast,Western US","Jun 14, 2022","Paul Dudley,Ricky Thomas",Active,No,"Streamkap, Inc",Seed,For Profit,support@streamkap.com,No
Nakit Yok,"E-tips, QR bills and loyalty system in HoReCa","Antalya, Antalya, Turkey",01-Oct,Seed,Private,nakit-yok.com,"95,372","Billing, Loyalty Programs, Payments, SaaS",No,"Dec 1, 2022",Viacheslav Teremets,Active,No,Nakit Yok,No,For Profit,support@nakit-yok.com,9.05346E+11
ExoMatter,We accelerate materials development with our AI-based software. We are building an enterprise SaaS platform.,"Munich, Bayern, Germany",01-Oct,Grant,Private,exomatter.ai/,"1,08,390","Artificial Intelligence,Chemical,Information Technology, Product Research, SaaS,Software",European Union (EU),Mar-22,Josua Vieten,Active,No,ExoMatter GmbH,No,For Profit,info@exomatter.ai,No
Myppl,Myppl equips scaleup leaders with AI-powered tools to easily access expertise of top mentors and coaches.,"Dover, Delaware, United States",01-Oct,Pre-Seed,Private,myppl.com/,"1,17,764","Artificial Intelligence,Corporate Training,Education,Personal Development,SaaS","East Coast, Southern US","Oct 1, 2022","Sergiy Sumnikov,Tom Jozefacki",Active,No,Myppl Inc.,No,For Profit,tom@myppl.com,No
UpMarket,"The virtual concierge platform connecting vacation rental guests, property managers and local businesses","Amsterdam, Noord-Holland, The Netherlands",01-Oct,Pre-Seed,Private,upmarket.cloud,"1,13,543","B2B,Hospitality,SaaS,Software,Travel",European Union (EU),Jan-23,"Antonino Bonumore, Shani Cohen",Active,No,UpMarket International B.V.,Pre-Seed,For Profit,s.cohen@upmarket.cloud,No
Action Ment,"Building Products Better and Faster with AI,","Dharapuram, Tamil Nadu, India",01-Oct,Seed,Private,actionment.com/,"1,17,509","Information Technology,SaaS,Software",Asia-Pacific (APAC),"Aug 25, 2022",Sagar Kalsekar,Active,No,Action Ment pvt. ltd.,Seed,For Profit,ceo@actionment.com,No
Nected,WorkFlow Automation & Experimentation Engine,"Gurgaon, Haryana, India",01-Oct,No,Private,nected.ai/,124188,"Cloud Computing, Gamification, SaaS, Software",Asia-Pacific (APAC),Jul-22,"Mukul Bhati, Prabhat Gupta",Active,No,Socioverse Tech Private Limited,No,No,support@nected.ai,No
TransAPI,Financials People Signals & News Similar Companies  Now have the power of voice recognition and Natural Language Processing thanks to Trans API.,"Ranchi, Jharkhand, India",01-Oct,Seed,Private,transapi.link/,"1,26,014",Information Technology SaaS Software,Asia-Pacific (APAC),"Sep 1, 2022",Vivek Bisht,No,No,TransAPI,No,For Profit,hr@transapi.link,No
T.O.P.,The Enhanced Manager powered by A.I,"Courbevoie, Ile-de-France, France",01-Oct,Seed,Private,top-turnover.ai/,"1,35,526","Human Resources,Management Information Systems,SaaS, Software",No,"Apr 20, 2022",Maxime Cariou,No,No,TOP,No,For Profit,maxime@top-turnover.ai,33662965394
reebuild,the building materials platform,"Vienna, Wien, Austria",01-Oct,Pre-Seed,Private,www.reebuild.com,"1,38,082","Building Material,Construction,Enterprise Software, Procurement,SaaS,Software",European Union (EU),"May 25, 2022","Alexander Kornell,Lucas Iser, Paul Lind",Active,No,reebuild GmbH,No,For Profit,invest@reebuild.com,4.36642E+11
Villae,Simplify your luxury real estate. PropTech made in Spain.,"Madrid, Madrid, Spain",01-Oct,Undisclosed,Private,villae.vip,"1,37,032","Commercial Real Estate, Marketplace,Property Management,Real Estate, SaaS,Software",European Union (EU),"Apr 5, 2022",No,Active,No,No,No,For Profit,villaevip@gmail.com,No
VEUIT,SaaS Web3 streaming video platform built on blockchain technology for upgrading Web2 websites to Web3 TV channel websites,"Fort Lauderdale, Florida, United States",01-Oct,No,Private,www.veuit.com,"1,47,124","Content Creators,Digital Entertainment,SaaS,Small and Medium Businesses,Social Media,Video Streaming","Greater Miami Area, East Coast, Southern US","Apr 25, 2022","Christopher Corso,Jonathan Sanger,Joseph Callahan,Joseph Juarez",Active,No,VEUIT Inc.,No,For Profit,ed@veuit.com,917-558-4087
Blue Pin,We bring magic to your SaaS business using AI/ChatGPT.,"Miami, Florida, United States",01-Oct,No,Private,getbluepin.com/,"1,49,785","Artificial Intelligence,SaaS, Twitter","Greater Miami Area, East Coast, Southern US","Nov 16, 2022",No,Active,No,No,No,No,hi@getbluepin.com,No
Versify Labs,Versify is the leading customer loyalty platform that powers interactions between customers and brands via digital collectibles.,"New York, New York, United States",01-Oct,Seed,Private,versifylabs.com,"1,49,605","Blockchain,Customer Service,Enterprise Software,Marketing,SaaS","Greater New York Area, East Coast, Northeastern US","Apr 25, 2022",Troy Smith,Active,Versify,"Versify Labs, Inc.",Seed,For Profit,support@versifylabs.com,No
Speedify.ai,"B2B SaaS that uses AI to automate data entry and business processes, with enterprise-grade security as a top of mind.","San Francisco, California, United States",01-Oct,No,Private,speedify.ai,"1,55,939","Artificial Intelligence, Data Integration, Enterprise Software, Industrial Automation, Information Technology, SaaS,Software","San Francisco Bay Area, West Coast, Western US",Feb-23,"Adam Silverman,Alex Reibman,Gloria Felicia",Active,No,Speedify,No,No,founders@speedify.ai,No
VulnSign,"VulnSign is an online vulnerability scanner that is fully automated, customer-orient configurable and has advanced features.","West Hollywood, California, United States",01-Oct,No,Private,vulnsign.com,"1,57,492","Cloud Security,Consulting,Cyber Security,Information Technology, Penetration Testing,SaaS,Security,Software","Greater Los Angeles Area, West Coast, Western US","Aug 12, 2022",Uğur Ekiz,Active,No,VulnSign Inc.,No,For Profit,info@vulnsign.com,415-969-3747
PowerCred,SaaS company providing APIs to help financial service providers build integrated products for their small business customers,"Singapore, Central Region, Singapore",01-Oct,Pre-Seed,Private,www.powercred.io/,"1,58,308","FinTech,SaaS","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),Southeast Asia","Feb 25, 2022","Kunal Goel,Shrinivas Deshmukh",Active,No,PowerCred Technologies PTE Ltd,Pre-Seed,For Profit,contact@powercred.io,No
appEQ.AI,appEQ.ai is a contextual in-app overlay for enabling customer facing teams to have deep collaboration on SaaS apps,"Bangalore, Karnataka, India",01-Oct,No,Private,www.appeq.ai,"1,59,463","Artificial Intelligence,SaaS",Asia-Pacific (APAC),"Jul 1, 2022",Rajat Shukla,Active,No,AppEQ Inc,No,No,support@appeq.ai,No
Arcana Recovery,"Financials, People, Signals & News, About, Saas & Mobile App","Harrisburg, Pennsylvania, United States",01-Oct,Pre-Seed,Private,www.arcanarecovery.com,"1,25,320","Health Care,Machine Learning,mHealth,Military,Mobile Apps,Predictive Analytics,SaaS","Great Lakes, Northeastern US","Jul 8, 2022",Sharina Johnson,Active,No,"Arcana Recovery, Inc.",Pre-Seed,For Profit,sjohnson@arcanarecovery.com,717-882-8843
Tailwarden,Building the Future of DevOps,"Paris, Ile-de-France, France",01-Oct,No,Private,tailwarden.com,"1,85,588","Cloud Management,SaaS,Software",European Union (EU),"Mar 1, 2022","Cyril Allard,Mohamed Labouardy",Active,No,Tailwarden,No,For Profit,cyril@tailwarden.com,No
Signlz,An AI powered business analytics for SaaS.,"San Francisco, California, United States",01-Oct,No,Private,getsignlz.com/,"1,82,724","Analytics, Artificial Intelligence, Business Intelligence, Machine Learning, Natural Language Processing, SaaS, Software","San Francisco Bay Area, West Coast, Western US",Nov-22,No,Active,No,Signlz Inc.,No,For Profit,hey@getsignlz.com,No
Shopiroller,People Technology Signals & News Similar Companies About Shopiroller is a headless e-commerce platform that empowers businesses and individuals to deliver exceptional shopping experiences.,"San Francisco, California, United States",01-Oct,No,Private,www.shopiroller.com/,189550,"CMS,E-Commerce,E-Commerce Platforms,Mobile Apps,SaaS,Web Apps","San Francisco Bay Area, West Coast, Western US","Sep 12, 2022","Bekir Çelik,Erol Kabadayi",Active,"Shopiroller,Headless CMS,Ecommerce,Ecommerce Platforms, API First,Mobiroller,Payment Solution",Shopiroller Inc,No,For Profit,info@shopiroller.com,850-885-0832
Salesfinity,Salesfinity helps B2B sales teams generate 10x more pipeline without increasing headcount.,No,01-Oct,No,Private,salesfinity.co,186439,"B2B, SaaS, Sales, Sales Automation, Software",No,"May 20, 2022",Mavlonbek Muratov,Active,No,No,No,For Profit,mavlonbek@salesfinity.co,4157261977
House of Yards App,"Landscaping business management software for landscapers. Instant quote, online booking, scheduling, invoice, payment, & CRM all in one app.","Chandler, Arizona, United States",01-Oct,No,Private,App.HouseofYards.com,"1,78,228","CRM,Home Services,Information Technology,Landscaping,SaaS,Software","Greater Phoenix Area, Western US","Jul 1, 2022",Marie Chan,Active,HouseofYards App,No,No,For Profit,marie@houseofyards.com,+1 (818) 927-3458
Vrizzle,A secure and trusted ecosystem of workspace for businesses to thrive,"Bangalore, Karnataka, India",01-Oct,Non-equity Assistance,Private,www.vrizzle.in/,"2,01,731","B2B,Coworking,Information Technology,SaaS,Web Apps",Asia-Pacific (APAC),"Aug 15, 2022","Manish Kumar,Neelanchal Gogna",Active,No,No,Non-equity Assistance,For Profit,hey@vrizzle.in,+91 7717445532
BlogHunch,"The flexible No-Code blogging platform lets you build and manage your blog without worrying about servers, developers, branding, and SEO","Kolkata, West Bengal, India",01-Oct,No,Private,bloghunch.com,"1,91,617","SaaS, Software",Asia-Pacific (APAC),"Jul 26, 2022","Ritu Soni, Subham Mitra",Active,No,BlogHunch Software Private Limited,No,For Profit,hello@bloghunch.com,9.17812E+11
Hidden Smiles,"Hidden Smiles is a SaaS solution that helps individuals feel valued and appreciated for their work, regardless of where they do it.","Berlin, Berlin, Germany",01-Oct,Pre-Seed,Private,www.hidden-smiles.com,"1,91,602","Enterprise Software, Human Resources, SaaS, Software",European Union (EU),"Aug 2, 2022","Dariush Franczak, Sanjay Yadav",Active,No,No,Pre-Seed,For Profit,dariush@hidden-smiles.com,No
Cercling,"Communications software for the supply chain. SaaS, collaboration platform.","New York, New York, United States",01-Oct,No,Private,www.cercling.com,"2,01,718","Enterprise Software, Internet, SaaS, Software, Supply Chain Management","Greater New York Area, East Coast, Northeastern US","Jun 13, 2022",Gari Boateng,Active,Cercling,"Cercling, Inc.",No,For Profit,kojo@cercling.com,442-266-3561
ShiftApp,Speed up and simplify your employee schedule planning using ShiftApp's new online schedule software. A SaaS app with Web and Mobile Apps.,"Dallas, Texas, United States",01-Oct,No,Private,shiftapp.com/,"1,98,645","Hospitality,Human Resources, Retail, SaaS, Security, Software","Dallas/Fort Worth Metroplex, Southern US","Sep 22, 2022",Jason Lee,Active,No,No,No,For Profit,hello@shiftapp.com,No
Easybase,Easybase is a visual database that enables teams to quickly develop scalable serverless apps without the typical back-end barriers.,"Pittsburgh, Pennsylvania, United States",01-Oct,Pre-Seed,Private,easybase.io/,"1,90,446","Cloud Computing, Cloud Data Services, Information Technology, Internet, SaaS, Software","Great Lakes, Northeastern US","Apr 18, 2022","Denney Owen, Dilan Ozkaynak",Active,No,Easybase Inc.,Pre-Seed,For Profit,hello@easybase.io,412-945-0510
Yaara AI,"YaaraAI is an AI-powered tool that helps you write better and more engaging marketing content. Whether you need help with your next Facebook ad, landing page, or blog post headline, just ask Yaara! Our AI has been trained on some of the best performing copy out there and knows what to convert and how to craft content that your audience will love.",No,01-Oct,No,Private,www.yaara.ai/,"2,06,303","Advertising,Artificial Intelligence,Content Marketing,Information Technology,Marketing Automation,Productivity Tools,SaaS,Social Media, Software",No,Mar-22,"Abdul Moiz, Muhammad Jawad, Samad Farooq",Active,"YaaraAI, Yaara, Yaara.ai",Yaara Inc.,No,For Profit,hello@yaara.ai,No
Valhalla Cybernetics,People Technology Signals & News Similar Companies About Software Company building Saas Platforms,"Santa Fe, New Mexico, United States",01-Oct,No,Private,vlcybernetics.com,"2,16,331","Health Care, Information Technology, SaaS, Software, Transportation, Web Development",Western US,"Nov 12, 2022",Guillermo Fong,Active,No,Valhalla Cybernetics LLC,No,For Profit,gfong@vlcybernetics.com,50766559985
Spendly,A fintech/SaaS company for small and mid-sized business to save across all financial services,"Charlotte, North Carolina, United States",01-Oct,No,Private,getspendly.com,"2,03,369","Financial Services,FinTech, InsurTech,SaaS,Software","East Coast, Southern US","Mar 1, 2022","Shannon Caulk,Matthew Godley",Active,No,"Spendly, Inc.",No,For Profit,shannon@getspendly.com,No
AudiencePlus,"We are building software, content, and community to help every company become a media company.","Scottsdale, Arizona, United States",01-Oct,No,Private,www.audienceplus.com,"2,15,080","Content Marketing, Digital Media, Internet, SaaS, Software","Greater Phoenix Area, Western US","Mar 11, 2022",Anthony Kennada,Active,No,"AudiencePlus, Inc.",No,No,info@audienceplus.com,(855) 255-2382
Bugpilot,"Bug resolution, User Experience, B2B SaaS","Milano, Lombardia, Italy",01-Oct,Pre-Seed,Private,www.bugpilot.io/,"2,22,113","B2B,Information Technology,SaaS",European Union (EU),"May 2, 2022","Krste Rajchevski,Simone Lusenti",Active,No,Adopto Srl,No,No,simone@bugpilot.io,No
Engagespot,Single API to build your product's multi-channel notification engine,"Wilmington, Delaware, United States",01-Oct,No,Private,engagespot.co/,194234,"Developer Tools,Information Technology,SaaS","Greater Philadelphia Area, East Coast, Southern US","Jan 24, 2023","Anand Sukumaran Nair,Anandu S.,Shiv Shankar, Shiv Shankar M S",No,No,Engagespot Inc,No,For Profit,support@engagespot.co,No
Spoonbill,People Technology Signals & News Similar Companies About SaaS Data Observability,"Pune, Maharashtra, India",01-Oct,No,Private,spoonbill.ai,224126,"Big Data,Information Technology,Predictive Analytics,SaaS",Asia-Pacific (APAC),Apr-22,Suyog Choudhari,Active,No,Spoonbill Data Pvt Ltd,No,For Profit,contact@spoonbilldata.com,No
Razzle AI,Build natural language based internal apps in a few lines of code.,No,01-Oct,NO,Private,razzle.ai,"2,15,723","Artificial Intelligence,Developer Tools,SaaS,Software",No,"Dec 30, 2022",No,Active,No,ConsumerAI ÖÜ,No,For Profit,No,No
Legalese Decoder,Simplify Everyday Jargons & Legalese Instantly,"Vancouver, British Columbia, Canada",01-Oct,No,Private,legalesedecoder.com/,"1,98,534","Legal Tech, SaaS",No,Jan-23,William Tsui,Active,No,No,No,For Profit,hello@legalesedecoder.com,No
Kiana,"People Technology Signals & News Similar Companies About SaaS 1-10 Private www.kianaapp.com 226,919",No,01-Oct,No,Private,www.kianaapp.com,"2,26,919",Freelance SaaS,No,"Nov 7, 2022",Lukas Marquardt,Active,No,Kiana LLC,No,For Profit,No,No
Isla,"A scalable, reliable, and collaborative internal ticketing system to sustain explosive growth.","Paris, Ile-de-France, France",01-Oct,No,Private,getisla.com,"2,41,064","Collaboration,SaaS,Software,Ticketing",European Union (EU),"Dec 7, 2022","Antoine Aubert,Romeo Bellon",Active,No,ISLA SAS,No,For Profit,info@getisla.com,+1 (877) 544-3225
Solved,Solved is a platform for incident management & root-cause analysis between all actors in food supply chain,"Valencia, Comunidad Valenciana, Spain",01-Oct,No,Private,www.trysolved.com/,"2,34,651","Food and Beverage, Industrial Manufacturing, SaaS,Software",No,"Apr 1, 2022","Iñigo Robles Fernández,Karim Jerome Gaad,Pablo Perez",Active,No,No,No,For Profit,info@trysolved.com,No
X80 Security,X80 automatically identifies dangerous issues in the cloud and quantifies cyber risk in dollars.,"Singapore, Central Region, Singapore",01-Oct,NO,Private,www.x80security.com/,"2,43,941","Cloud Security,Cyber Security,Information Technology,SaaS,Security","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Mar 15, 2022","Edoardo Barp,Simon Janin",Active,No,X80 Pte. Ltd.,No,For Profit,s.janin@x80security.com,No
Ledgr,Ledgr is a cloud accounting and SaaS firm providing business services company.,"Underhill, Vermont, United States",01-Oct,NO,Private,www.getledgr.co/,"2,38,098","Consulting, FinTech, Professional Services, SaaS, Small and Medium Businesses, Software","New England, Northeastern US",Sep-22,Ian Bouchett,Active,"Get Ledgr, Ledgr Cloud, Ledgr Cloud Accounting, Ledgr Bookkeeping, Ledgr Books, Ledgr Accounting, Ledgr US",Ledgr Inc,No,For Profit,info@getledgr.co,877-425-2329
